Company Name,Ticker,Market Cap (mil),Month of Fiscal Yr End,Sector,Industry,Exchange,Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.
"Joint Stock Company Kaspi.kz Sponsored ADR","KSPI","23695.39","12","Business Services","Financial Transaction Services","NSDQ","124.92","9.6","202312","11.32","14.52"
"KT","KT","7498.59","12","Computer and Technology","Wireless Non-US ","NYSE","14.54","1.55","202312","1.86","2.15"
"Kontoor Brands","KTB","3978.16","12","Consumer Discretionary","Textile - Apparel","NYSE","71.44","4.26","202312","4.8","5.28"
"Kratos Defense & Security Solutions","KTOS","3139.28","12","Aerospace","Aerospace - Defense Equipment","NSDQ","20.79",".42","202312",".47",".58"
"Kubota","KUBTY","16388.81","12","Industrial Products","Manufacturing - Farm Equipment","OTC","69.597","7.19","202312","6.04","6.39"
"Kuraray Co.","KURRY","4183.66","12","Basic Materials","Chemical - Plastic","OTC","37.5","3.21","202312","",""
"Kenvue Inc.","KVUE","41271.86","12","Consumer Staples","Consumer Products - Staples","NYSE","21.55","1.29","202312","1.08","1.24"
"Klaviyo, Inc.","KVYO","8437.53","12","Business Services","Technology Services","NYSE","31.64",".36","202312",".48",".57"
"Kyocera","KYOCY","16227.56","3","Computer and Technology","Electronics - Miscellaneous Components","OTC","11.52",".5","202403",".48",".56"
"Loews","L","17322.05","12","Finance","Insurance - Multi line","NYSE","78.91","6.29","202312","",""
"Lithia Motors","LAD","7591.99","12","Retail-Wholesale","Automotive - Retail and Whole Sales","NYSE","283.92","36.86","202312","28.89","34.66"
"Lamar Advertising","LAMR","12155.49","12","Finance","REIT and Equity Trust - Other","NSDQ","118.82","7.47","202312","8.09","8.75"
"Lancaster Colony","LANC","5456.13","6","Consumer Staples","Food - Miscellaneous","NSDQ","198.21","4.74","202406","6.95","7"
"Lazard, Inc.","LAZ","5357.52","12","Finance","Financial - Miscellaneous Services","NYSE","47.51",".77","202312","2.45","4.28"
"Liberty Broadband","LBRDA","8636.59","12","Consumer Discretionary","Cable Television","NSDQ","60.46","4.68","202312","",""
"Liberty Broadband","LBRDK","8795.15","12","Consumer Discretionary","Cable Television","NSDQ","61.57","4.68","202312","9.05","10.1"
"Liberty Energy","LBRT","3319.87","12","Oils-Energy","Oil and Gas - Field Services","NYSE","20.08","3.15","202312","2.16","2.45"
"Liberty Global Ltd","LBTYA","6866.71","12","Consumer Discretionary","Cable Television","NSDQ","18.79","-9.52","202312","-.61","-.53"
"Liberty Global Ltd","LBTYB","6826.51","12","Consumer Discretionary","Cable Television","NSDQ","18.68","-9.52","202312","",""
"Liberty Global Ltd","LBTYK","7093.29","12","Consumer Discretionary","Broadcast Radio and Television","NSDQ","19.41","-9.52","202312","",""
"Lucid Group","LCID","7475.17","12","Auto-Tires-Trucks","Automotive - Domestic","NSDQ","3.24","-1.36","202312","-1.27","-1.28"
"Leidos","LDOS","20225.91","12","Aerospace","Aerospace - Defense","NYSE","150.14","7.3","202312","8.97","9.39"
"Lear","LEA","6407.07","12","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","113.89","12.02","202312","12.79","16.43"
"Lincoln Electric","LECO","10924.72","12","Industrial Products","Manufacturing - Tools & Related Products","NSDQ","192.76","9.41","202312","9.07","9.8"
"LEG Immobilien","LEGIF","6514.21","12","Finance","Real Estate - Operations","OTC","87.9","1.53","202312","4.61","4.62"
"Legend Biotech","LEGN","10402.34","12","Medical","Medical - Biomedical and Genetics","NSDQ","57.06","-1.47","202312","-1.56","-.69"
"Lennar","LEN","47781.11","11","Construction","Building Products - Home Builders","NYSE","174","14.25","202311","14.16","16"
"Lennar","LEN.B","44450.16","11","Construction","Building Products - Home Builders","NYSE","161.87","14.25","202311","",""
"Levi Strauss & Co.","LEVI","7544.61","11","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","18.98","1.1","202311","1.25","1.43"
"Littelfuse","LFUS","6564.44","12","Computer and Technology","Electronics - Miscellaneous Components","NSDQ","264.82","11.74","202312","8.18","10.98"
"Legal & General Group","LGGNY","17616.8","12","Finance","Insurance - Multi line","OTC","14.83",".45","202312","1.46","1.61"
"Labcorp","LH","18948.83","12","Medical","Medical - Dental Supplies","NYSE","225.68","13.56","202312","14.69","15.87"
"L3Harris Technologies","LHX","43563.9","12","Aerospace","Aerospace - Defense","NYSE","229.64","12.36","202312","13.06","14.32"
"Li Auto","LI","21549.12","12","Auto-Tires-Trucks","Automotive - Foreign","NSDQ","20.31","1.61","202312","1.39","2.01"
"Lennox International","LII","20413.35","12","Construction","Building Products - Air Conditioner and Heating","NYSE","572.86","17.96","202312","20.32","22.96"
"Linde PLC","LIN","218729.69","12","Basic Materials","Chemical - Specialty","NSDQ","458.07","14.2","202312","15.54","17.09"
"Lineage, Inc.","LINE","21026.2","12","Finance","REIT and Equity Trust - Other","NSDQ","86.32","","202312","2.63","3.48"
"Lumentum","LITE","3791.68","6","Computer and Technology","Lasers Systems and Components","NSDQ","56.09","1.01","202406","1.85","3.72"
"Luckin Coffee","LKNCY","6115.5","12","Consumer Staples","Beverages - Soft drinks","OTC","21.86","1.44","202312","",""
"LKQ","LKQ","10822.46","12","Auto-Tires-Trucks","Automotive - Replacement Parts","NSDQ","41.11","3.83","202312","3.6","4.06"
"Eli Lilly","LLY","902875.94","12","Medical","Large Cap Pharmaceuticals","NYSE","949.97","6.32","202312","15.77","22.79"
"Liberty Media Corporation - Liberty Live Series A","LLYVA","3592.83","12","Utilities","Diversified Communication Services","NSDQ","39.17","","202312","",""
"Liberty Media Corporation - Liberty Live Series B","LLYVB","3621.48","12","Consumer Discretionary","Media Conglomerates","OTC","39.5","","202312","",""
"Liberty Media Corporation - Liberty Live Series C","LLYVK","3667.12","12","Consumer Discretionary","Media Conglomerates","NSDQ","39.98","","202312","",""
"Lockheed Martin","LMT","132767.8","12","Aerospace","Aerospace - Defense","NYSE","557.01","27.82","202312","26.49","28.85"
"Lincoln National","LNC","5230.16","12","Finance","Insurance - Life Insurance","NYSE","30.73","5.22","202312","5.79","7.51"
"Cheniere Energy","LNG","41423.82","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","183.07","40.72","202312","9.31","10.17"
"Li Ning Co.","LNNGY","4620.02","12","Retail-Wholesale","Retail - Apparel and Shoes","OTC","44.69","4.34","202312","4.45","5.66"
"Alliant Energy","LNT","14758.99","12","Utilities","Utility - Electric Power","NSDQ","57.54","2.82","202312","3.07","3.27"
"Lantheus","LNTH","6834.75","12","Medical","Medical - Products","NSDQ","98.44","6.23","202312","6.71","7.35"
"Lenovo Group","LNVGY","14966.22","3","Computer and Technology","Computer - Micro Computers","OTC","24.13","1.61","202403","2.42","3.25"
"Light & Wonder","LNW","9377.26","12","Consumer Discretionary","Gaming","NSDQ","105.69","1.75","202312","3.91","5.74"
"Loar Holdings Inc.","LOAR","6499.02","12","Aerospace","Aerospace - Defense Equipment","NYSE","72.45","","202312",".44",".77"
"Logitech International","LOGI","14489.43","3","Computer and Technology","Computer - Peripheral Equipment","NSDQ","91.62","4.25","202403","4.43","4.77"
"Grand Canyon Education","LOPE","4135.82","12","Consumer Discretionary","Schools","NSDQ","140.4","7.04","202312","7.98","8.8"
"Lowe's Companies","LOW","136948.52","1","Retail-Wholesale","Building Products - Retail","NYSE","240.33","13.2","202401","12.1","13.27"
"LG Display Co.","LPL","4120","12","Computer and Technology","Computer - Peripheral Equipment","NYSE","4.12","-2.93","202312","-.74",".05"
"LPL Financial","LPLA","16396.25","12","Finance","Financial - Investment Bank","NSDQ","219.31","15.72","202312","15.85","19.36"
"LouisianaPacific","LPX","6488.58","12","Construction","Building Products - Wood","NYSE","92.33","3.22","202312","5.05","4.83"
"","LQD","32784.52","12","Finance","Financial - Investment Funds","NYSE","111.74","","202312","",""
"Lam Research","LRCX","112811.17","6","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","862.86","29.94","202406","35.15","44.16"
"L'Oreal","LRLCY","229175.09","12","Consumer Staples","Cosmetics","OTC","85.68","2.61","202312","2.75","3.02"
"Stride","LRN","3469.63","6","Consumer Discretionary","Schools","NYSE","80.17","4.69","202406","5.05","5.64"
"Lattice Semiconductor","LSCC","6639.24","12","Computer and Technology","Electronics - Semiconductors","NSDQ","48.19","2.01","202312","1.01","1.38"
"Land Securities Group","LSGOF","6401.92","3","Finance","Real Estate - Development","OTC","8.595",".63","202403",".62",".64"
"Landstar System","LSTR","6528.59","12","Transportation","Transportation - Truck","NSDQ","184.15","7.36","202312","5.87","7.45"
"Liberty Media Corporation - Liberty SiriusXM Series A","LSXMA","7621.68","12","Consumer Discretionary","Media Conglomerates","NSDQ","23.33","2.42","202312","2.49","2.93"
"Liberty Media Corporation - Liberty SiriusXM Series B","LSXMB","7513.88","12","Consumer Discretionary","Media Conglomerates","NSDQ","23","2.42","202312","",""
"Liberty Media Corporation - Liberty SiriusXM Series C","LSXMK","7615.15","12","Consumer Discretionary","Media Conglomerates","NSDQ","23.31","2.42","202312","",""
"Life Time Group Holdings","LTH","4661.73","12","Medical","Medical Services","NYSE","23.38",".37","202312",".74",".94"
"LATAM Airlines Group","LTM","7352.99","12","Transportation","Transportation - Airline","NYSE","24.33","0","202312","",""
"lululemon athletica","LULU","32575.62","1","Consumer Discretionary","Textile - Apparel","NSDQ","260.6","12.77","202401","14.26","15.68"
"Lumen Technologies","LUMN","6253.38","12","Business Services","Technology Services","NYSE","6.15",".2","202312","-.18","-1.03"
"Lundin Mining","LUNMF","7581.45","12","Basic Materials","Mining - Non Ferrous","OTC","9.76",".44","202312",".87","1.06"
"Southwest Airlines","LUV","15889.64","12","Transportation","Transportation - Airline","NYSE","26.52","1.57","202312",".23","1.29"
"LVMH Moet Hennessy Louis Vuitton","LVMUY","376931.78","12","Consumer Discretionary","Textile - Apparel","OTC","150.73","6.56","202312","6.56","7.3"
"Las Vegas Sands","LVS","30171.61","12","Consumer Discretionary","Gaming","NYSE","40.97","1.89","202312","2.45","2.75"
"Lamb Weston","LW","8886.07","5","Consumer Staples","Food - Miscellaneous","NYSE","61.85","5.08","202405","4.54","5.14"
"LyondellBasell Industries","LYB","31390.61","12","Basic Materials","Chemical - Diversified ","NYSE","96.56","8.65","202312","8.11","9.55"
"Lyft","LYFT","4630.68","12","Computer and Technology","Internet - Services","NSDQ","11.29",".65","202312",".73",".89"
"Lloyds Banking Group","LYG","46438.6","12","Finance","Banks - Foreign","NYSE","2.98",".47","202312",".32",".38"
"Lynas","LYSDY","3925.82","6","Basic Materials","Mining - Miscellaneous","OTC","4.2",".23","202406",".17",".21"
"Live Nation Entertainment","LYV","22477.89","12","Consumer Discretionary","Leisure and Recreation Services","NYSE","96.84","1.37","202312","1.17","2.07"
"Lonza Group","LZAGY","47192.59","12","Medical","Medical - Products","OTC","65.34","1.38","202312","1.57","1.84"
"Macy's","M","4903.54","1","Retail-Wholesale","Retail - Regional Department Stores","NYSE","17.74","3.5","202401","2.8","2.82"
"Mastercard","MA","433389.47","12","Business Services","Financial Transaction Services","NYSE","469.12","12.26","202312","14.29","16.56"
"MidAmerica Apartment Communities","MAA","17893.75","12","Finance","REIT and Equity Trust - Residential","NYSE","153.1","9.17","202312","8.89","9.1"
"The Macerich Company","MAC","3209.63","12","Finance","REIT and Equity Trust - Retail","NYSE","14.86","1.8","202312","1.65","1.67"
"Main Street Capital","MAIN","4293.61","12","Finance","Financial - SBIC & Commercial Industry","NYSE","49.31","4.36","202312","4.13","3.98"
"Marks and Spencer Group","MAKSY","8559.07","3","Retail-Wholesale","Retail - Supermarkets","OTC","8.35",".59","202403",".67",".73"
"ManpowerGroup","MAN","3340.81","12","Business Services","Staffing Firms","NYSE","70.41","6.04","202312","4.87","6.37"
"Manhattan Associates","MANH","15761.65","12","Computer and Technology","Computer - Software","NSDQ","257.35","3.74","202312","4.26","4.78"
"Marriott International","MAR","62816.18","12","Consumer Discretionary","Hotels and Motels","NSDQ","223.13","9.99","202312","9.4","10.69"
"Marathon Digital","MARA","4835.27","12","Business Services","Technology Services","NSDQ","16.42",".17","202312","-.2","-.66"
"Marubeni","MARUY","28168.12","3","Conglomerates","Diversified Operations","OTC","168.23","19.34","202403","20.47","21"
"Masco","MAS","16687.3","12","Construction","Building Products - Miscellaneous","NYSE","76.46","3.86","202312","4.11","4.49"
"Masimo","MASI","6474.04","12","Medical","Medical - Instruments","NSDQ","121.7","3.79","202312","3.83","4.2"
"Mattel","MAT","6458.1","12","Consumer Discretionary","Toys - Games - Hobbies","NSDQ","19","1.23","202312","1.43","1.54"
"Matson","MATX","4395.87","12","Transportation","Transportation - Services","NYSE","130.91","8.32","202312","10.49","8.89"
"","MBB","33240.35","12","Finance","Financial - Investment Funds","NSDQ","95.19","","202312","",""
"Mobileye Global Inc.","MBLY","12073.82","12","Auto-Tires-Trucks","Automotive - Original Equipment","NSDQ","14.92",".82","202312",".22",".46"
"Moelis & Company","MC","4730.79","12","Finance","Financial - Investment Bank","NYSE","63.25","-.2","202312","1.09","2.64"
"McDonald's","MCD","204894.73","12","Retail-Wholesale","Retail - Restaurants","NYSE","285.63","11.94","202312","11.66","12.57"
"Microchip Technology","MCHP","43070.63","3","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","80.28","4.92","202403","2.05","3.37"
"McKesson","MCK","71130.3","3","Medical","Medical - Dental Supplies","NYSE","548.52","27.44","202403","31.46","35.28"
"Moody's","MCO","86231.64","12","Finance","Financial - Miscellaneous Services","NYSE","473.54","9.9","202312","11.34","12.88"
"Mercury General","MCY","3329.4","12","Finance","Insurance - Property and Casualty","NYSE","60.13",".3","202312","4","6"
"MongoDB","MDB","18575.33","1","Computer and Technology","Internet - Software","NSDQ","253.24","3.33","202401","2.26","2.89"
"Madrigal Pharmaceuticals","MDGL","5627.27","12","Medical","Medical - Drugs","NSDQ","259.17","-19.99","202312","-27.67","-17.76"
"Mondelez International","MDLZ","94814.93","12","Consumer Staples","Food - Miscellaneous","NSDQ","70.98","3.19","202312","3.49","3.61"
"Medtronic","MDT","109508.41","4","Medical","Medical - Products","NYSE","85.38","5.2","202404","5.43","5.82"
"MDU Resources Group","MDU","5040.12","12","Utilities","Utility - Gas Distribution","NYSE","24.72","1.5","202312","1.55","1.65"
"Medpace","MEDP","12070.54","12","Medical","Medical Services","NSDQ","389.35","8.88","202312","11.65","12.96"
"MercadoLibre","MELI","101681.83","12","Retail-Wholesale","Internet - Commerce","NSDQ","2005.66","19.46","202312","34.7","46.07"
"MetLife","MET","50927.63","12","Finance","Insurance - Multi line","NYSE","72.72","7.33","202312","8.7","9.8"
"Meta Platforms","META","1332530.38","12","Computer and Technology","Internet - Software","NSDQ","526.73","14.87","202312","21.27","24.02"
"Manulife Financial Corp","MFC","46358.79","12","Finance","Insurance - Life Insurance","NYSE","26.07","2.57","202312","2.72","2.86"
"Mizuho Financial Group","MFG","53731.61","3","Finance","Banks - Foreign","NYSE","4.24",".28","202403",".39",".47"
"Magna International","MGA","11685.62","12","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","40.67","5.49","202312","5.58","6.7"
"Michelin","MGDDY","27711.78","12","Auto-Tires-Trucks","Rubber - Tires","OTC","19.38","1.5","202312","1.88","1.9"
"MGE Energy","MGEE","3150.56","12","Utilities","Utility - Electric Power","NSDQ","87.09","3.25","202312","3.69","4.03"
"MGM Resorts International","MGM","11968.53","12","Consumer Discretionary","Gaming","NYSE","39.4","2.67","202312","2.75","3.08"
"Magnolia Oil & Gas Corp","MGY","4920.25","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","24.71","2.04","202312","2.16","2.33"
"Mohawk Industries","MHK","9331.23","12","Consumer Discretionary","Textile - Home Furnishing","NYSE","147.84","9.19","202312","10","11.53"
"MI Homes","MHO","4098.37","12","Construction","Building Products - Home Builders","NYSE","147.68","16.21","202312","19.58","21.02"
"Mitsubishi Heavy Industries","MHVYF","43857.42","3","Industrial Products","Manufacturing - General Industrial ","OTC","13",".46","202403",".58",".7"
"The Middleby","MIDD","7447.62","12","Industrial Products","Manufacturing - General Industrial ","NSDQ","138.51","9.7","202312","9.65","10.21"
"Mitsubishi Estate Co.","MITEY","20747.23","3","Finance","Real Estate - Development","OTC","16.32",".73","202403","",""
"Mitsui & Co.","MITSY","62514.36","3","Industrial Products","Metal Products - Distribution","OTC","417.5","48.85","202403","40.77","41.59"
"McCormick & Company","MKC","20980.02","11","Consumer Staples","Food - Miscellaneous","NYSE","78.1","2.7","202311","2.85","3.04"
"McCormick & Company, Incorporated","MKC.V","20711.41","11","Consumer Staples","Food - Miscellaneous","NYSE","77.1001","2.7","202311","",""
"Merck KGaA","MKGAF","24272.99","12","Medical","Medical - Drugs","OTC","187.81","9.19","202312","9.5","10.33"
"MARKEL GROUP","MKL","20025.73","12","Conglomerates","Diversified Operations","NYSE","1546.9399","146.98","202312","87.65","99.83"
"MKS Instruments","MKSI","7877.36","12","Computer and Technology","Electronics - Manufacturing Machinery","NSDQ","117.07","4.43","202312","5.39","7.2"
"Makita","MKTAY","8429.86","3","Consumer Discretionary","Tools - Handheld","OTC","31.335","1.12","202403","1.34","1.53"
"MarketAxess","MKTX","8727.88","12","Finance","Securities and Exchanges","NSDQ","231.19","6.85","202312","7.06","7.97"
"Mueller Industries","MLI","7692.44","12","Industrial Products","Metal Products - Procurement and Fabrication","NYSE","67.88","5.3","202312","",""
"Martin Marietta Materials","MLM","32783.19","12","Construction","Building Products - Concrete and Aggregates","NYSE","536.4","19.32","202312","19.63","22.68"
"MOONLAKE IMMUNO","MLTX","3161.61","12","Medical","Medical - Biomedical and Genetics","NSDQ","49.49","-.73","202312","-1.45","-2.47"
"Marsh & McLennan Companies","MMC","110217.25","12","Finance","Insurance - Brokerage","NYSE","224.13","7.99","202312","8.74","9.44"
"3M","MMM","70152.45","12","Conglomerates","Diversified Operations","NYSE","127.7","9.24","202312","7.2","7.84"
"Maximus","MMS","5397.27","9","Business Services","Government Services","NYSE","89.69","3.83","202309","5.99","5.84"
"Merit Medical Systems","MMSI","5292.32","12","Medical","Medical - Dental Supplies","NSDQ","90.92","3.01","202312","3.31","3.68"
"MakeMyTrip Limited","MMYT","10264.66","3","Computer and Technology","Internet - Delivery Services","NSDQ","93.5","1.22","202403","1.36","1.84"
"monday.com","MNDY","12971.68","12","Computer and Technology","Internet - Software","NSDQ","268.69","1.85","202312","2.76","3.18"
"MINISO Group Holding Limited","MNSO","4663.02","12","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","14.76",".78","202312","1.21","1.53"
"Monster Beverage","MNST","45754.5","12","Consumer Staples","Beverages - Soft drinks","NSDQ","46.71","1.55","202312","1.66","1.89"
"Altria Group","MO","87768.18","12","Consumer Staples","Tobacco","NYSE","51.44","4.95","202312","5.1","5.3"
"Modine Manufacturing","MOD","5666.96","3","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","108.12","3.25","202403","3.85","4.55"
"Moog","MOG.A","5953.78","9","Aerospace","Aerospace - Defense Equipment","NYSE","186.11","6.15","202309","7.41","8.21"
"Moog","MOG.B","5956.02","9","Aerospace","Aerospace - Defense Equipment","NYSE","186.18","6.15","202309","",""
"Molina Healthcare","MOH","20422.1","12","Medical","Medical - HMOs","NYSE","348.5","20.88","202312","23.5","26.53"
"MONDI PLC UNS","MONDY","8401.18","12","Basic Materials","Paper and Related Products","OTC","38.065","2.33","202312","1.98","2.81"
"MONOTARO","MONOY","8187.06","12","Retail-Wholesale","Internet - Commerce","OTC","16.33",".32","202312",".32",".37"
"Morningstar","MORN","13378.96","12","Business Services","Business - Information Services","NSDQ","312.31","5.12","202312","",""
"The Mosaic Company","MOS","8686.06","12","Basic Materials","Fertilizers","NYSE","27.26","3.57","202312","2.31","2.01"
"Marathon Petroleum","MPC","57435.13","12","Oils-Energy","Oil and Gas - Refining and Marketing","NYSE","171.61","23.63","202312","13.9","14.82"
"MPLX LP","MPLX","42915.58","12","Oils-Energy","Oil and Gas - Production and Pipelines","NYSE","42.05","3.8","202312","4.21","4.49"
"Meituan Unsponsored ADR","MPNGY","84553.37","12","Business Services","Technology Services","OTC","27.24","1.02","202312","",""
"Monolithic Power Systems","MPWR","44105.45","12","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","904.69","11.78","202312","13.96","17.37"
"Murata Manufacturing","MRAAY","38124.73","3","Industrial Products","Manufacturing - Electronics","OTC","10.09",".33","202403",".52",".76"
"Merck & Co.","MRK","291627.31","12","Medical","Large Cap Pharmaceuticals","NYSE","115.14","1.51","202312","8.13","9.76"
"Moderna","MRNA","33419.39","12","Medical","Medical - Biomedical and Genetics","NSDQ","86.94","-12.33","202312","-9.37","-7.11"
"Marathon Oil","MRO","15545.27","12","Oils-Energy","Oil and Gas - Integrated - United States","NYSE","27.79","2.61","202312","2.77","3.08"
"Merus","MRUS","3663.58","12","Medical","Medical - Biomedical and Genetics","NSDQ","53.71","-3","202312","-3.27","-3.83"
"Marvell Technology","MRVL","60081.3","1","Business Services","Technology Services","NSDQ","69.41","1.51","202401","1.39","2.41"
"Morgan Stanley","MS","163783.89","12","Finance","Financial - Investment Bank","NYSE","100.78","5.46","202312","7.03","7.61"
"MSA Safety Incorporporated","MSA","6938.72","12","Industrial Products","Security and Safety Services","NYSE","176.32","7.03","202312","7.71","8.41"
"MS&AD Insurance Group","MSADY","36751.91","3","Finance","Insurance - Property and Casualty","OTC","22.85","1.41","202403","2.65","3.12"
"MSCI","MSCI","44279.94","12","Computer and Technology","Business - Software Services","NYSE","563","13.52","202312","14.78","16.71"
"Microsoft","MSFT","3157554.5","6","Computer and Technology","Computer - Software","NSDQ","424.8","11.8","202406","13.04","15.04"
"The Madison Square Garden Company","MSGS","4936.69","6","Consumer Discretionary","Leisure and Recreation Services","NYSE","206.16","2.44","202406","1.39","2.07"
"Motorola Solutions","MSI","71137.66","12","Computer and Technology","Wireless Equipment","NYSE","426.38","11.95","202312","13.27","14.31"
"MSC","MSM","4571.21","8","Industrial Products","Industrial Services","NYSE","81.45","6.29","202308","4.84","4.81"
"MicroStrategy","MSTR","23713.17","12","Computer and Technology","Computer - Software","NSDQ","133.69","2.78","202312","",""
"ArcelorMittal","MT","18377.81","12","Basic Materials","Steel - Producers","NYSE","22.82","5.78","202312","3.54","4.67"
"M&T Bank","MTB","27073.8","12","Finance","Banks - Major Regional","NYSE","162.26","16.08","202312","14.24","16.24"
"Match Group","MTCH","9420.9","12","Retail-Wholesale","Internet - Commerce","NSDQ","36.53","2.26","202312","1.98","2.39"
"MettlerToledo International","MTD","30363.21","12","Computer and Technology","Instruments - Scientific","NYSE","1430.9301","38.03","202312","40.28","44.48"
"Matador Resources","MTDR","6980.97","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","55.93","6.77","202312","7.83","9.41"
"MGIC Investment","MTG","6213.83","12","Finance","Insurance - Multi line","NYSE","23.97","2.53","202312","2.7","2.72"
"Meritage Homes","MTH","6731.07","12","Construction","Building Products - Home Builders","NYSE","185.29","19.93","202312","21.09","21.98"
"Mitsubishi Chemical","MTLHY","8478.59","3","Basic Materials","Chemical - Diversified ","OTC","29.8","2.8","202403","",""
"Vail Resorts","MTN","6628.22","7","Consumer Discretionary","Leisure and Recreation Services","NYSE","176.17","6.74","202407","8.6","9.25"
"MACOM Technology Solutions","MTSI","7621.95","9","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","105.58","2.7","202309","2.55","3.23"
"MTU Aero Engines","MTUAY","15957.89","12","Aerospace","Aerospace - Defense","OTC","148.24","6.29","202312","7.02","8.24"
"MasTec","MTZ","8843.44","12","Construction","Building Products - Heavy Construction","NYSE","111.63","1.97","202312","3.02","4.35"
"Micron Technology","MU","119743.77","8","Computer and Technology","Semiconductor Memory","NSDQ","107.99","-4.45","202308","1.16","9.32"
"","MUB","38394.38","12","Finance","Financial - Investment Funds","NYSE","107.91","","202312","",""
"Mitsubishi UFJ Financial Group","MUFG","123124.97","3","Finance","Banks - Foreign","NYSE","10.5",".9","202403",".88","1"
"Murphy Oil","MUR","5552.66","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","36.8","4.52","202312","4.03","5.78"
"Mnchener RckversicherungsGesellschaft","MURGY","68980.17","12","Finance","Insurance - Multi line","OTC","51.57","2.6","202312","5.75","5.23"
"Murphy USA","MUSA","10459.63","12","Oils-Energy","Oil and Gas - Refining and Marketing","NYSE","510.42","25.49","202312","24.47","27.17"
"Mueller Water Products","MWA","3156.43","9","Industrial Products","Steel - Pipe and Tube","NYSE","20.26",".63","202309",".93","1.06"
"National Australia Bank","NABZY","78653.37","9","Finance","Banks - Foreign","OTC","12.71",".8","202309",".75",".76"
"Neurocrine Biosciences","NBIX","15105.04","12","Medical","Medical - Drugs","NSDQ","149.59","2.47","202312","4.19","7.07"
"Norwegian Cruise Line","NCLH","6999.89","12","Consumer Discretionary","Leisure and Recreation Services","NYSE","15.92",".7","202312","1.56","1.87"
"Nitori Holdings","NCLTY","15855.57","3","Consumer Staples","Consumer Products - Staples","OTC","14.03",".58","202403","",""
"nCino","NCNO","3946.24","1","Computer and Technology","Internet - Software","NSDQ","34.29",".5","202401",".66",".85"
"Nasdaq","NDAQ","40367.66","12","Finance","Securities and Exchanges","NSDQ","70.09","2.82","202312","2.74","3.09"
"Nitto Denko","NDEKY","11082.01","3","Computer and Technology","Semiconductor - Communications ","OTC","39.2","2.49","202403","2.66","2.99"
"Nordson","NDSN","13714.15","10","Industrial Products","Manufacturing - General Industrial ","NSDQ","239.47","9.03","202310","9.52","10.41"
"Noble Corporation PLC","NE","5323.72","12","Oils-Energy","Oil and Gas - Drilling","NYSE","37.25","1.84","202312","3.36","5.34"
"NextEra Energy","NEE","162331.83","12","Utilities","Utility - Electric Power","NYSE","78.98","3.17","202312","3.39","3.67"
"Newmont","NEM","59035.23","12","Basic Materials","Mining - Miscellaneous","NYSE","51.45","1.61","202312","2.82","3.4"
"Neogen","NEOG","3532.87","5","Medical","Medical - Products","NSDQ","16.31",".45","202405",".54",".64"
"Cloudflare","NET","28132.39","12","Computer and Technology","Internet - Software","NYSE","82.33",".49","202312",".69",".82"
"NewMarket","NEU","5294.51","12","Basic Materials","Chemical - Specialty","NYSE","551.85","40.44","202312","",""
"National Fuel Gas Company","NFG","5357.17","9","Utilities","Utility - Gas Distribution","NYSE","58.64","5.17","202309","5.13","6.18"
"Netflix","NFLX","299788.63","12","Consumer Discretionary","Broadcast Radio and Television","NSDQ","698.54","12.03","202312","19.08","22.72"
"National Grid Transco","NGG","63701.32","3","Utilities","Utility - Electric Power","NYSE","65.19","4.9","202403","4.54","4.83"
"National Health Investors","NHI","3309.11","12","Finance","REIT and Equity Trust - Other","NYSE","76.15","4.33","202312","4.49","4.67"
"Norsk Hydro ASA","NHYDY","11290.67","12","Industrial Products","Metal Products - Procurement and Fabrication","OTC","5.62",".4","202312",".57","1.02"
"NiSource","NI","14419.59","12","Utilities","Utility - Electric Power","NYSE","32.15","1.6","202312","1.72","1.84"
"Nice","NICE","11230.59","12","Computer and Technology","Internet - Software","NSDQ","178.63","8.79","202312","10.66","12.16"
"Nikon","NINOY","3665.52","3","Computer and Technology","Electronics - Manufacturing Machinery","OTC","10.58",".65","202403",".57",".77"
"NIO","NIO","6618.56","12","Auto-Tires-Trucks","Automotive - Foreign","NYSE","3.85","-1.75","202312","-1.42","-1.01"
"NewJersey Resources","NJR","4524.02","9","Utilities","Utility - Gas Distribution","NYSE","45.62","2.68","202309","2.94","2.89"
"NIKE","NKE","125286.44","5","Consumer Discretionary","Shoes and Retail Apparel ","NYSE","83.56","3.95","202405","3.12","3.53"
"Annaly Capital Management","NLY","10095.52","12","Finance","REIT and Equity Trust","NYSE","20.15","2.86","202312","2.66","2.72"
